Protein,CRC01-N,CRC01-T,CRC02-N_fixed
NFIB,41.0,36.0,61.0
NFIC,25.0,32.0,48.0
NFIL3,53.0,49.0,74.0
NFILZ,33.0,35.0,52.0
NFIX,23.0,23.0,27.0
NFKB1,114.0,115.0,138.0
NFKB2,98.0,94.0,114.0
NFKBIA,28.0,33.0,42.0
NFKBIB,31.0,38.0,37.0
NFKBID,15.0,17.0,30.0
NFKBIE,32.0,35.0,53.0
NFKBIL1,33.0,31.0,43.0
NFKBIZ,57.0,55.0,81.0
NFRKB,101.0,111.0,168.0
NFS1,58.0,60.0,73.0
NFU1,14.0,16.0,24.0
NFX1,171.0,174.0,225.0
NFXL1,94.0,109.0,160.0
NFYA,4.0,5.0,3.0
NFYB,5.0,6.0,6.0
NFYC,25.0,20.0,24.0
NGB,3.0,2.0,7.0
NGDN,41.0,40.0,55.0
NGEF,92.0,91.0,124.0
NGF,25.0,26.0,36.0
NGFR,11.0,15.0,24.0
NGLY1,86.0,94.0,112.0
NGRN,50.0,52.0,68.0
NHEJ1,35.0,35.0,38.0
NHERF1,51.0,47.0,75.0
NHERF2,47.0,52.0,64.0
NHERF4,53.0,63.0,72.0
NHLH1,7.0,10.0,12.0
NHLH2,4.0,3.0,10.0
NHLRC1,41.0,35.0,55.0
NHLRC2,44.0,46.0,67.0
NHLRC3,27.0,28.0,39.0
NHLRC4,4.0,3.0,6.0
NHP2,11.0,9.0,10.0
NHS,127.0,122.0,171.0
NHSL1,113.0,116.0,140.0
NHSL2,121.0,129.0,151.0
NHSL3,71.0,73.0,106.0
NIBAN1,78.0,68.0,93.0
NIBAN2,70.0,69.0,102.0
NIBAN3,50.0,50.0,62.0
NICN1,26.0,25.0,36.0
NICOL1,13.0,15.0,18.0
NID1,105.0,111.0,135.0
NID2,93.0,95.0,136.0
NIF3L1,38.0,43.0,47.0
NIFK,28.0,30.0,40.0
NIM1K,58.0,77.0,93.0
NIN,272.0,282.0,376.0
NINJ1,6.0,8.0,9.0
NINJ2,11.0,15.0,18.0
NINL,184.0,190.0,266.0
NIP7,39.0,34.0,50.0
NIPA1,15.0,9.0,21.0
NIPA2,8.0,8.0,9.0
NIPAL1,7.0,8.0,12.0
NIPAL2,16.0,16.0,27.0
NIPAL3,14.0,16.0,14.0
NIPAL4,16.0,23.0,35.0
NIPBL,244.0,257.0,402.0
NIPSNAP1,28.0,24.0,36.0
NIPSNAP2,28.0,27.0,40.0
NIPSNAP3A,28.0,30.0,42.0
NIPSNAP3B,23.0,29.0,43.0
NISCH,114.0,111.0,135.0
NIT1,34.0,40.0,56.0
NIT2,21.0,36.0,42.0
NKAIN1,6.0,5.0,6.0
NKAIN2,5.0,4.0,6.0
NKAIN3,6.0,7.0,14.0
NKAIN4,9.0,6.0,9.0
NKAP,43.0,33.0,47.0
NKAPD1,23.0,26.0,45.0
NKAPL,23.0,33.0,43.0
NKAPP1,6.0,9.0,11.0
NKD1,35.0,38.0,65.0
NKD2,42.0,48.0,65.0
NKIRAS1,26.0,24.0,29.0
NKIRAS2,21.0,21.0,24.0
NKPD1,77.0,73.0,89.0
NKRF,96.0,107.0,129.0
NKTR,146.0,148.0,202.0
NKX1-1,15.0,14.0,14.0
NKX1-2,16.0,16.0,16.0
NKX2-1,24.0,23.0,28.0
NKX2-2,26.0,23.0,24.0
NKX2-3,26.0,31.0,32.0
NKX2-4,12.0,11.0,17.0
NKX2-5,21.0,23.0,34.0
NKX2-6,24.0,25.0,32.0
NKX2-8,18.0,23.0,38.0
NKX3-1,26.0,37.0,39.0
NKX3-2,30.0,32.0,39.0
NKX6-1,29.0,23.0,33.0
NKX6-2,24.0,25.0,42.0
NKX6-3,30.0,32.0,49.0
NLE1,45.0,54.0,75.0
NLGN1,54.0,59.0,66.0
NLGN2,40.0,40.0,55.0
NLGN3,42.0,45.0,62.0
NLGN4X,39.0,41.0,53.0
NLGN4Y,11.0,14.0,16.0
NLK,62.0,69.0,77.0
NLN,89.0,93.0,117.0
NLRC3,122.0,123.0,176.0
NLRC4,111.0,117.0,156.0
NLRC5,139.0,142.0,206.0
NLRP1,152.0,161.0,218.0
NLRP10,83.0,82.0,118.0
NLRP11,91.0,86.0,103.0
NLRP12,110.0,110.0,150.0
NLRP13,91.0,94.0,128.0
