Protein,CRC01-N,CRC01-T,CRC02-N_fixed
A1BG,44.0,41.0,54.0
A1CF,58.0,61.0,86.0
A2M,149.0,171.0,220.0
A2ML1,118.0,108.0,152.0
A3GALT2,16.0,20.0,27.0
A4GALT,34.0,33.0,63.0
A4GNT,32.0,28.0,36.0
AAAS,28.0,26.0,47.0
AACS,54.0,44.0,83.0
AADAC,53.0,49.0,68.0
AADACL2,32.0,30.0,39.0
AADACL3,35.0,41.0,44.0
AADACL4,34.0,26.0,45.0
AADAT,45.0,48.0,55.0
AAGAB,7.0,9.0,16.0
AAK1,54.0,64.0,93.0
AAMDC,21.0,17.0,31.0
AAMP,25.0,23.0,40.0
AANAT,18.0,18.0,19.0
AAR2,40.0,39.0,50.0
AARD,37.0,42.0,47.0
AARS1,90.0,96.0,140.0
AARS2,90.0,81.0,126.0
AARSD1,22.0,19.0,39.0
AASDH,72.0,78.0,108.0
AASDHPPT,29.0,34.0,43.0
AASS,87.0,71.0,128.0
AATF,54.0,47.0,75.0
AATK,86.0,83.0,120.0
ABAT,76.0,79.0,78.0
ABCA1,179.0,187.0,290.0
ABCA10,118.0,126.0,153.0
ABCA12,219.0,211.0,295.0
ABCA13,511.0,531.0,695.0
ABCA2,192.0,208.0,252.0
ABCA3,122.0,114.0,160.0
ABCA4,178.0,205.0,256.0
ABCA5,107.0,112.0,153.0
ABCA6,95.0,94.0,144.0
ABCA7,153.0,158.0,236.0
ABCA8,84.0,79.0,127.0
ABCA9,97.0,112.0,141.0
ABCB1,120.0,136.0,162.0
ABCB10,73.0,81.0,104.0
ABCB11,126.0,130.0,153.0
ABCB4,107.0,114.0,153.0
ABCB5,98.0,91.0,168.0
ABCB6,72.0,73.0,93.0
ABCB7,62.0,56.0,90.0
ABCB8,63.0,70.0,87.0
ABCB9,45.0,53.0,59.0
ABCC1,132.0,120.0,166.0
ABCC10,134.0,132.0,164.0
ABCC11,112.0,110.0,163.0
ABCC12,122.0,127.0,164.0
ABCC2,98.0,101.0,130.0
ABCC3,103.0,119.0,156.0
ABCC4,108.0,112.0,150.0
ABCC5,128.0,127.0,162.0
ABCC6,91.0,79.0,124.0
ABCC8,117.0,121.0,166.0
ABCC9,103.0,110.0,158.0
ABCD1,80.0,87.0,114.0
ABCD2,79.0,80.0,131.0
ABCD3,57.0,70.0,80.0
ABCD4,72.0,69.0,83.0
ABCE1,75.0,75.0,84.0
ABCF1,96.0,101.0,145.0
ABCF2,74.0,73.0,94.0
ABCF3,78.0,81.0,121.0
ABCG1,40.0,51.0,56.0
ABCG2,53.0,58.0,89.0
ABCG4,42.0,42.0,56.0
ABCG5,46.0,50.0,55.0
ABCG8,37.0,36.0,55.0
ABHD1,18.0,27.0,22.0
ABHD10,29.0,34.0,48.0
ABHD11,37.0,34.0,42.0
ABHD12,33.0,34.0,41.0
ABHD12B,70.0,64.0,102.0
ABHD13,32.0,37.0,41.0
ABHD14A,27.0,23.0,30.0
ABHD14B,12.0,14.0,22.0
ABHD15,34.0,38.0,49.0
ABHD16A,30.0,30.0,53.0
ABHD16B,44.0,52.0,62.0
ABHD17A,33.0,31.0,37.0
ABHD17B,23.0,22.0,34.0
ABHD17C,30.0,30.0,41.0
ABHD18,48.0,47.0,49.0
ABHD2,39.0,38.0,51.0
ABHD3,22.0,19.0,23.0
ABHD4,46.0,44.0,46.0
ABHD5,31.0,30.0,49.0
ABHD6,39.0,35.0,53.0
ABHD8,20.0,20.0,31.0
ABI1,34.0,40.0,56.0
ABI2,23.0,24.0,38.0
ABI3,23.0,27.0,47.0
ABI3BP,101.0,100.0,149.0
ABITRAM,35.0,38.0,44.0
ABL1,123.0,129.0,167.0
ABL2,94.0,84.0,123.0
ABLIM1,96.0,98.0,164.0
ABLIM2,111.0,104.0,132.0
ABLIM3,81.0,89.0,136.0
ABO,35.0,39.0,42.0
ABR,75.0,68.0,120.0
ABRA,54.0,53.0,60.0
ABRACL,4.0,3.0,9.0
ABRAXAS1,26.0,25.0,50.0
ABRAXAS2,31.0,35.0,49.0
ABT1,39.0,38.0,48.0
ABTB1,45.0,51.0,79.0
ABTB2,93.0,93.0,115.0
ABTB3,80.0,74.0,114.0
ACAA1,27.0,27.0,40.0
ACAA2,35.0,31.0,47.0
ACACA,237.0,235.0,325.0
ACACB,263.0,272.0,366.0
ACAD10,105.0,98.0,160.0
ACAD11,89.0,88.0,107.0
ACAD8,59.0,57.0,67.0
ACAD9,71.0,73.0,89.0
ACADL,30.0,27.0,41.0
ACADM,36.0,44.0,55.0
ACADS,30.0,39.0,42.0
ACADSB,47.0,41.0,48.0
ACADVL,81.0,76.0,102.0
ACAN,69.0,76.0,94.0
ACAP1,74.0,89.0,106.0
ACAP2,104.0,113.0,139.0
ACAP3,83.0,77.0,113.0
ACAT1,38.0,34.0,40.0
ACAT2,20.0,26.0,37.0
ACBD3,33.0,34.0,57.0
ACBD4,46.0,52.0,52.0
ACBD5,59.0,59.0,76.0
ACBD6,32.0,36.0,38.0
ACBD7,15.0,16.0,25.0
ACCS,71.0,74.0,108.0
ACCSL,50.0,53.0,84.0
ACD,31.0,26.0,39.0
ACE,102.0,115.0,153.0
ACE2,60.0,63.0,91.0
ACER1,12.0,12.0,13.0
ACER2,,,1.0
ACER3,8.0,6.0,10.0
ACHE,41.0,47.0,52.0
ACIN1,116.0,115.0,172.0
ACKR1,,1.0,
ACKR2,7.0,8.0,8.0
ACKR3,11.0,10.0,15.0
ACKR4,8.0,8.0,13.0
ACKR5,10.0,11.0,13.0
ACLY,88.0,86.0,137.0
ACMSD,49.0,48.0,67.0
ACO1,74.0,70.0,115.0
ACO2,90.0,104.0,141.0
ACOD1,43.0,43.0,60.0
ACOT1,5.0,6.0,6.0
ACOT11,49.0,50.0,74.0
ACOT12,70.0,70.0,95.0
ACOT13,23.0,23.0,29.0
ACOT2,39.0,42.0,57.0
ACOT4,52.0,54.0,69.0
ACOT6,35.0,38.0,48.0
ACOT7,47.0,48.0,81.0
ACOT7L,15.0,20.0,22.0
ACOT8,32.0,36.0,51.0
ACOT9,79.0,70.0,85.0
ACOX1,58.0,57.0,79.0
ACOX2,60.0,58.0,92.0
ACOX3,81.0,85.0,99.0
ACOXL,51.0,58.0,85.0
ACP1,13.0,11.0,20.0
ACP2,33.0,37.0,54.0
ACP3,33.0,33.0,49.0
ACP4,38.0,40.0,64.0
ACP5,21.0,20.0,25.0
ACP6,44.0,40.0,58.0
ACP7,48.0,55.0,65.0
ACR,30.0,27.0,49.0
ACRBP,50.0,46.0,62.0
ACRV1,6.0,8.0,14.0
ACSBG1,83.0,84.0,103.0
ACSBG2,60.0,60.0,84.0
ACSF2,67.0,80.0,101.0
ACSF3,44.0,45.0,69.0
ACSL1,72.0,79.0,108.0
ACSL3,64.0,72.0,100.0
ACSL4,88.0,102.0,109.0
ACSL5,51.0,58.0,87.0
ACSL6,94.0,96.0,126.0
ACSM1,68.0,67.0,91.0
ACSM2A,58.0,53.0,78.0
ACSM2B,18.0,17.0,20.0
ACSM3,68.0,69.0,103.0
ACSM4,53.0,49.0,62.0
ACSM5,53.0,64.0,92.0
ACSM6,33.0,26.0,43.0
ACSS1,62.0,56.0,91.0
ACSS2,60.0,54.0,77.0
ACSS3,58.0,58.0,86.0
ACTA1,2.0,3.0,3.0
ACTA2,16.0,17.0,23.0
ACTB,25.0,29.0,30.0
ACTBL2,25.0,30.0,33.0
ACTG1,,,1.0
ACTG2,3.0,3.0,2.0
ACTL10,25.0,29.0,30.0
ACTL6A,21.0,26.0,44.0
ACTL6B,30.0,30.0,53.0
ACTL7A,61.0,77.0,87.0
ACTL7B,22.0,22.0,39.0
ACTL8,25.0,34.0,41.0
ACTL9,40.0,39.0,45.0
ACTMAP,21.0,20.0,26.0
ACTN1,83.0,84.0,108.0
ACTN2,104.0,107.0,146.0
ACTN3,71.0,83.0,111.0
ACTN4,128.0,135.0,188.0
ACTR10,40.0,42.0,48.0
ACTR1A,15.0,16.0,31.0
ACTR1B,33.0,34.0,41.0
ACTR2,37.0,45.0,53.0
ACTR3,49.0,49.0,63.0
ACTR3B,29.0,33.0,54.0
ACTR3C,2.0,,2.0
ACTR5,42.0,51.0,53.0
ACTR6,24.0,36.0,43.0
ACTR8,74.0,72.0,81.0
ACTRT1,34.0,39.0,55.0
ACTRT2,26.0,25.0,43.0
ACTRT3,19.0,28.0,30.0
ACVR1,37.0,31.0,58.0
ACVR1B,58.0,59.0,84.0
ACVR1C,41.0,41.0,54.0
ACVR2A,35.0,38.0,49.0
ACVR2B,41.0,46.0,82.0
ACVRL1,48.0,53.0,54.0
ACY1,57.0,62.0,72.0
ACY3,20.0,15.0,21.0
ACYP1,13.0,11.0,16.0
ACYP2,23.0,25.0,38.0
ADA,54.0,52.0,64.0
ADA2,59.0,58.0,80.0
ADAD1,67.0,73.0,100.0
ADAD2,48.0,54.0,80.0
ADAM10,87.0,85.0,133.0
ADAM11,58.0,68.0,83.0
ADAM12,86.0,79.0,116.0
ADAM15,66.0,60.0,85.0
ADAM17,103.0,105.0,134.0
ADAM18,64.0,67.0,99.0
ADAM19,103.0,91.0,131.0
ADAM2,63.0,65.0,102.0
ADAM20,64.0,55.0,75.0
ADAM21,52.0,71.0,108.0
ADAM22,105.0,94.0,132.0
ADAM23,68.0,73.0,101.0
ADAM28,74.0,77.0,100.0
ADAM29,80.0,90.0,105.0
ADAM30,77.0,78.0,107.0
ADAM32,85.0,89.0,110.0
ADAM33,33.0,41.0,59.0
ADAM5,34.0,32.0,51.0
ADAM7,75.0,74.0,108.0
ADAM8,45.0,40.0,57.0
ADAM9,79.0,86.0,98.0
ADAMDEC1,42.0,46.0,63.0
ADAMTS1,93.0,99.0,151.0
ADAMTS10,109.0,111.0,142.0
ADAMTS12,145.0,163.0,229.0
ADAMTS13,103.0,129.0,142.0
ADAMTS14,89.0,109.0,126.0
ADAMTS15,111.0,123.0,141.0
ADAMTS16,121.0,143.0,186.0
ADAMTS17,114.0,117.0,155.0
ADAMTS18,107.0,102.0,145.0
ADAMTS19,111.0,118.0,162.0
ADAMTS2,111.0,134.0,158.0
ADAMTS20,169.0,175.0,255.0
ADAMTS3,142.0,135.0,167.0
ADAMTS4,65.0,66.0,99.0
ADAMTS5,135.0,129.0,144.0
ADAMTS6,104.0,96.0,155.0
ADAMTS7,128.0,131.0,179.0
ADAMTS8,77.0,84.0,92.0
ADAMTS9,208.0,209.0,314.0
ADAMTSL1,147.0,145.0,207.0
ADAMTSL2,88.0,84.0,121.0
ADAMTSL3,175.0,173.0,245.0
ADAMTSL4,112.0,114.0,151.0
ADAMTSL4-AS1,8.0,9.0,9.0
ADAMTSL5,37.0,34.0,48.0
ADAP1,64.0,58.0,89.0
ADAP2,39.0,48.0,66.0
ADAR,147.0,144.0,198.0
ADARB1,62.0,71.0,85.0
ADARB2,64.0,67.0,104.0
ADARB2-AS1,7.0,10.0,15.0
ADAT1,76.0,79.0,95.0
ADAT2,18.0,16.0,23.0
ADAT3,31.0,36.0,48.0
ADCK1,55.0,63.0,86.0
ADCK2,88.0,79.0,103.0
ADCK5,74.0,81.0,116.0
ADCY1,64.0,78.0,99.0
ADCY10,162.0,175.0,250.0
ADCY2,92.0,97.0,132.0
ADCY3,69.0,80.0,112.0
ADCY4,77.0,76.0,107.0
ADCY5,76.0,69.0,120.0
ADCY6,73.0,72.0,112.0
ADCY7,81.0,82.0,122.0
ADCY8,90.0,95.0,132.0
ADCY9,138.0,133.0,170.0
ADCYAP1,12.0,14.0,15.0
ADCYAP1R1,28.0,26.0,33.0
ADD1,60.0,57.0,90.0
ADD2,77.0,83.0,121.0
ADD3,61.0,61.0,80.0
ADGB,198.0,208.0,270.0
ADGRA1,32.0,26.0,40.0
ADGRA2,63.0,83.0,93.0
ADGRA3,97.0,113.0,137.0
ADGRB1,106.0,115.0,144.0
ADGRB2,100.0,128.0,164.0
ADGRB3,109.0,112.0,172.0
ADGRD1,34.0,36.0,46.0
ADGRD2,53.0,59.0,69.0
ADGRE1,60.0,56.0,88.0
ADGRE2,26.0,24.0,37.0
ADGRE3,61.0,65.0,76.0
ADGRE4P,37.0,40.0,47.0
ADGRE5,45.0,43.0,66.0
ADGRF1,42.0,46.0,66.0
ADGRF2P,68.0,72.0,89.0
ADGRF3,27.0,25.0,43.0
ADGRF4,56.0,57.0,74.0
ADGRF5,72.0,78.0,113.0
ADGRG1,27.0,32.0,59.0
ADGRG2,40.0,37.0,72.0
ADGRG3,25.0,28.0,28.0
ADGRG4,136.0,142.0,187.0
ADGRG5,25.0,24.0,28.0
ADGRG6,85.0,79.0,119.0
ADGRG7,57.0,59.0,76.0
ADGRL1,114.0,111.0,162.0
ADGRL2,119.0,131.0,157.0
ADGRL3,102.0,102.0,135.0
ADGRL4,42.0,49.0,59.0
ADGRV1,319.0,344.0,457.0
ADH1A,13.0,15.0,20.0
ADH1B,52.0,44.0,57.0
ADH1C,10.0,10.0,25.0
ADH4,49.0,51.0,68.0
ADH5,26.0,33.0,35.0
ADH6,33.0,32.0,54.0
ADH7,39.0,39.0,53.0
ADHFE1,25.0,27.0,38.0
ADI1,36.0,38.0,54.0
ADIG,3.0,4.0,3.0
ADIPOQ,31.0,25.0,35.0
ADIPOR1,16.0,18.0,25.0
ADIPOR2,11.0,13.0,21.0
ADIRF,8.0,3.0,6.0
ADISSP,9.0,10.0,17.0
ADK,24.0,27.0,43.0
ADM,38.0,41.0,48.0
ADM2,15.0,17.0,14.0
ADM5,9.0,9.0,13.0
ADNP,139.0,135.0,204.0
ADNP2,81.0,88.0,112.0
ADO,23.0,19.0,33.0
ADORA1,5.0,6.0,12.0
ADORA2A,12.0,12.0,13.0
ADORA2A-AS1,18.0,22.0,21.0
ADORA2B,12.0,13.0,20.0
ADORA3,3.0,3.0,8.0
ADPGK,27.0,29.0,51.0
ADPRH,65.0,57.0,70.0
ADPRHL1,46.0,49.0,73.0
ADPRM,13.0,16.0,24.0
ADPRS,31.0,38.0,44.0
ADRA1A,12.0,15.0,29.0
ADRA1B,39.0,44.0,47.0
ADRA1D,11.0,15.0,19.0
ADRA2A,18.0,14.0,28.0
ADRA2B,14.0,15.0,21.0
ADRA2C,4.0,5.0,9.0
ADRB1,11.0,9.0,20.0
ADRB2,19.0,13.0,24.0
ADRB3,10.0,12.0,22.0
ADRM1,26.0,25.0,32.0
ADSL,47.0,49.0,69.0
ADSS1,56.0,50.0,76.0
ADSS2,43.0,41.0,68.0
ADTRP,9.0,10.0,10.0
AEBP1,57.0,61.0,114.0
AEBP2,55.0,54.0,70.0
AEN,43.0,42.0,61.0
AFAP1,76.0,73.0,104.0
AFAP1L1,77.0,80.0,99.0
AFAP1L2,74.0,80.0,100.0
AFDN,160.0,160.0,246.0
AFF1,123.0,132.0,179.0
AFF2,94.0,100.0,151.0
AFF3,121.0,124.0,172.0
AFF4,131.0,126.0,176.0
AFG1L,58.0,58.0,78.0
AFG2A,119.0,113.0,137.0
AFG2B,104.0,98.0,125.0
AFG3L2,96.0,105.0,145.0
AFM,95.0,94.0,109.0
AFMID,29.0,27.0,38.0
AFP,77.0,76.0,103.0
AFTPH,66.0,66.0,118.0
AGA,20.0,21.0,30.0
AGAP1,49.0,50.0,71.0
AGAP11,22.0,26.0,31.0
AGAP2,74.0,67.0,109.0
AGAP3,52.0,61.0,63.0
AGAP4,10.0,12.0,14.0
AGAP5,49.0,42.0,62.0
AGAP6,4.0,7.0,10.0
AGAP7P,18.0,17.0,19.0
AGAP9,28.0,27.0,37.0
AGBL1,114.0,109.0,138.0
AGBL2,121.0,118.0,178.0
AGBL3,141.0,135.0,196.0
AGBL4,50.0,59.0,71.0
AGBL5,86.0,92.0,120.0
AGER,14.0,18.0,21.0
AGFG1,35.0,33.0,48.0
AGFG2,26.0,25.0,43.0
AGGF1,66.0,77.0,91.0
AGK,47.0,48.0,79.0
AGL,202.0,211.0,275.0
AGMAT,40.0,45.0,46.0
AGMO,27.0,31.0,36.0
AGO1,68.0,71.0,91.0
AGO2,104.0,108.0,156.0
AGO3,91.0,99.0,159.0
AGO4,78.0,75.0,107.0
AGPAT1,10.0,10.0,17.0
AGPAT2,15.0,22.0,25.0
AGPAT3,44.0,47.0,54.0
AGPAT4,25.0,24.0,39.0
AGPAT4-IT1,4.0,10.0,11.0
AGPAT5,19.0,22.0,33.0
AGPS,73.0,72.0,115.0
AGR2,13.0,10.0,15.0
AGR3,28.0,21.0,36.0
AGRN,142.0,140.0,186.0
AGRP,9.0,8.0,16.0
AGT,37.0,43.0,57.0
AGTPBP1,127.0,129.0,175.0
AGTR1,34.0,31.0,30.0
AGTR2,16.0,16.0,19.0
AGTRAP,14.0,14.0,15.0
AGXT,40.0,38.0,59.0
AGXT2,72.0,67.0,119.0
AHCTF1,176.0,214.0,274.0
AHCY,50.0,53.0,68.0
AHCYL1,58.0,54.0,84.0
AHCYL2,28.0,26.0,45.0
AHDC1,148.0,126.0,164.0
AHI1,159.0,156.0,227.0
AHI1-DT,13.0,15.0,19.0
AHNAK,655.0,710.0,944.0
AHNAK2,451.0,449.0,600.0
AHR,63.0,67.0,89.0
AHRR,64.0,82.0,84.0
AHSA1,50.0,55.0,78.0
AHSA2P,38.0,36.0,50.0
AHSG,25.0,27.0,36.0
AHSP,9.0,8.0,14.0
AICDA,42.0,55.0,65.0
AIDA,31.0,32.0,55.0
AIF1,14.0,14.0,26.0
AIF1L,22.0,24.0,25.0
AIFM1,46.0,50.0,85.0
AIFM2,35.0,44.0,59.0
AIFM3,53.0,55.0,78.0
AIG1,14.0,13.0,20.0
AIM2,57.0,48.0,73.0
AIMP1,45.0,39.0,55.0
AIMP2,31.0,33.0,38.0
AIP,45.0,43.0,61.0
AIPL1,46.0,51.0,66.0
AIRE,49.0,60.0,72.0
AIRIM,18.0,21.0,26.0
AJAP1,18.0,26.0,27.0
AJM1,101.0,100.0,139.0
AJUBA,57.0,61.0,84.0
AK1,26.0,23.0,41.0
AK2,47.0,51.0,64.0
AK3,40.0,33.0,57.0
AK4,24.0,27.0,36.0
AK5,58.0,60.0,67.0
AK6,23.0,25.0,34.0
AK7,88.0,82.0,122.0
AK8,63.0,80.0,98.0
AK9,170.0,163.0,230.0
AKAIN1,10.0,9.0,14.0
AKAP1,82.0,90.0,118.0
AKAP10,56.0,67.0,94.0
AKAP11,146.0,142.0,217.0
AKAP12,157.0,160.0,240.0
AKAP13,248.0,244.0,326.0
AKAP14,33.0,34.0,49.0
AKAP17A,65.0,76.0,88.0
AKAP19,13.0,12.0,18.0
AKAP3,96.0,89.0,121.0
AKAP4,107.0,108.0,144.0
AKAP5,27.0,29.0,41.0
AKAP6,223.0,234.0,281.0
AKAP7,79.0,79.0,90.0
AKAP8,46.0,57.0,61.0
AKAP8L,43.0,42.0,83.0
AKAP9,648.0,669.0,828.0
AKIP1,20.0,19.0,26.0
AKIRIN1,21.0,20.0,31.0
AKIRIN2,33.0,36.0,46.0
AKNA,137.0,140.0,202.0
AKNAD1,80.0,89.0,138.0
AKR1A1,33.0,38.0,58.0
AKR1B1,43.0,47.0,69.0
AKR1B10,17.0,21.0,38.0
AKR1B15,46.0,48.0,61.0
AKR1C1,6.0,5.0,8.0
AKR1C2,36.0,29.0,38.0
AKR1C3,49.0,43.0,51.0
AKR1C4,38.0,40.0,53.0
AKR1C8,41.0,41.0,57.0
AKR1D1,47.0,45.0,60.0
AKR1E2,54.0,54.0,72.0
AKR7A2,17.0,19.0,33.0
AKR7A3,15.0,21.0,28.0
AKR7L,24.0,22.0,31.0
AKT1,81.0,84.0,106.0
AKT1S1,22.0,17.0,28.0
AKT2,79.0,72.0,92.0
AKT3,64.0,58.0,83.0
AKTIP,26.0,36.0,37.0
ALAD,31.0,30.0,50.0
ALAS1,73.0,78.0,90.0
ALAS2,65.0,67.0,110.0
ALB,93.0,97.0,133.0
ALCAM,56.0,60.0,81.0
ALDH16A1,57.0,58.0,77.0
ALDH18A1,111.0,107.0,140.0
ALDH1A1,63.0,62.0,78.0
ALDH1A2,34.0,36.0,51.0
ALDH1A3,70.0,73.0,111.0
ALDH1B1,38.0,43.0,67.0
ALDH1L1,110.0,107.0,171.0
ALDH1L2,108.0,113.0,160.0
ALDH2,30.0,29.0,39.0
ALDH3A1,48.0,45.0,54.0
ALDH3A2,41.0,41.0,65.0
ALDH3B1,32.0,37.0,47.0
ALDH3B2,31.0,28.0,38.0
ALDH4A1,54.0,51.0,71.0
ALDH5A1,48.0,40.0,55.0
ALDH6A1,38.0,47.0,53.0
ALDH7A1,51.0,55.0,77.0
ALDH8A1,31.0,37.0,49.0
ALDH9A1,42.0,44.0,70.0
ALDOA,51.0,57.0,73.0
ALDOB,28.0,30.0,36.0
ALDOC,53.0,54.0,67.0
ALG1,43.0,38.0,47.0
ALG10,,1.0,3.0
ALG10B,20.0,17.0,24.0
ALG11,19.0,18.0,27.0
ALG12,32.0,41.0,36.0
ALG13,91.0,99.0,117.0
ALG14,25.0,21.0,28.0
ALG1L2,34.0,28.0,36.0
ALG2,45.0,47.0,65.0
ALG3,15.0,13.0,39.0
ALG5,23.0,30.0,48.0
ALG6,23.0,22.0,34.0
ALG8,26.0,36.0,34.0
ALG9,42.0,53.0,70.0
ALK,144.0,136.0,198.0
ALKAL1,15.0,12.0,24.0
ALKAL2,34.0,36.0,48.0
ALKBH1,45.0,52.0,74.0
ALKBH2,22.0,21.0,30.0
ALKBH3,61.0,57.0,90.0
ALKBH4,27.0,35.0,60.0
ALKBH5,44.0,39.0,56.0
ALKBH6,44.0,44.0,49.0
ALKBH7,27.0,34.0,34.0
ALKBH8,76.0,88.0,120.0
ALLC,45.0,50.0,49.0
ALMS1,486.0,507.0,687.0
ALOX12,67.0,70.0,103.0
ALOX12B,68.0,59.0,71.0
ALOX15,84.0,92.0,112.0
ALOX15B,65.0,61.0,89.0
ALOX5,73.0,81.0,95.0
ALOX5AP,8.0,7.0,12.0
ALOXE3,51.0,53.0,77.0
ALPG,20.0,19.0,27.0
ALPI,26.0,33.0,40.0
ALPK1,147.0,156.0,200.0
ALPK2,185.0,184.0,257.0
ALPK3,125.0,133.0,162.0
ALPL,39.0,44.0,61.0
ALPP,42.0,50.0,65.0
ALS2,124.0,126.0,183.0
ALS2CL,105.0,114.0,162.0
ALX1,35.0,36.0,45.0
ALX3,16.0,18.0,29.0
ALX4,25.0,15.0,45.0
ALYREF,15.0,17.0,21.0
AMACR,28.0,26.0,50.0
AMBN,14.0,14.0,25.0
AMBP,26.0,29.0,44.0
AMBRA1,109.0,115.0,143.0
AMD1,41.0,50.0,64.0
AMDHD1,66.0,63.0,86.0
AMDHD2,33.0,34.0,33.0
AMELY,2.0,2.0,1.0
AMER1,53.0,57.0,77.0
AMER2,59.0,68.0,91.0
AMER3,71.0,73.0,107.0
AMFR,41.0,44.0,53.0
AMH,50.0,54.0,87.0
AMHR2,71.0,74.0,87.0
AMIGO1,54.0,57.0,61.0
AMIGO2,38.0,41.0,58.0
AMIGO3,45.0,45.0,61.0
AMMECR1,24.0,21.0,31.0
AMMECR1L,13.0,19.0,21.0
AMN,35.0,31.0,43.0
AMN1,15.0,18.0,25.0
AMOT,121.0,117.0,167.0
AMOTL1,99.0,108.0,143.0
AMOTL2,82.0,91.0,122.0
AMPD1,93.0,103.0,136.0
AMPD2,89.0,92.0,116.0
AMPD3,87.0,95.0,109.0
AMPH,51.0,46.0,83.0
AMT,49.0,49.0,59.0
AMTN,9.0,8.0,8.0
AMY1B,17.0,21.0,29.0
AMY2A,63.0,67.0,72.0
AMY2B,6.0,5.0,7.0
AMZ1,45.0,42.0,69.0
AMZ2,44.0,45.0,51.0
ANAPC1,172.0,167.0,225.0
ANAPC10,35.0,38.0,45.0
ANAPC11,1.0,1.0,4.0
ANAPC13,5.0,6.0,5.0
ANAPC15,3.0,6.0,11.0
ANAPC16,6.0,10.0,9.0
ANAPC2,85.0,95.0,142.0
ANAPC4,99.0,109.0,150.0
ANAPC5,87.0,86.0,113.0
ANAPC7,75.0,78.0,86.0
ANG,23.0,15.0,21.0
ANGEL1,39.0,46.0,46.0
ANGEL2,78.0,74.0,89.0
ANGPT1,70.0,61.0,96.0
ANGPT2,50.0,51.0,70.0
ANGPT4,59.0,52.0,79.0
ANGPTL1,50.0,63.0,83.0
ANGPTL2,67.0,76.0,97.0
ANGPTL3,55.0,55.0,65.0
ANGPTL4,30.0,25.0,42.0
ANGPTL5,58.0,59.0,72.0
ANGPTL6,45.0,51.0,75.0
ANGPTL7,23.0,25.0,36.0
ANGPTL8,13.0,17.0,19.0
ANHX,41.0,43.0,54.0
ANK1,147.0,161.0,211.0
ANK2,378.0,380.0,518.0
ANK3,526.0,510.0,715.0
ANKAR,129.0,147.0,199.0
ANKDD1A,51.0,53.0,83.0
ANKDD1B,92.0,76.0,116.0
ANKEF1,110.0,111.0,141.0
ANKFN1,91.0,105.0,125.0
ANKFY1,87.0,89.0,125.0
ANKH,34.0,28.0,34.0
ANKHD1,100.0,108.0,155.0
ANKIB1,85.0,89.0,115.0
ANKK1,71.0,83.0,112.0
ANKLE1,49.0,52.0,79.0
ANKLE2,95.0,94.0,159.0
ANKMY1,114.0,111.0,139.0
ANKMY2,42.0,45.0,60.0
ANKRA2,25.0,24.0,27.0
ANKRD1,41.0,50.0,66.0
ANKRD10,23.0,30.0,37.0
ANKRD11,179.0,188.0,257.0
ANKRD12,204.0,196.0,249.0
ANKRD13A,49.0,52.0,79.0
ANKRD13B,63.0,56.0,99.0
ANKRD13C,31.0,27.0,34.0
ANKRD13C-DT,14.0,18.0,26.0
ANKRD13D,64.0,66.0,93.0
ANKRD16,41.0,39.0,67.0
ANKRD17,222.0,203.0,259.0
ANKRD18A,141.0,138.0,183.0
ANKRD18B,85.0,93.0,139.0
ANKRD19P,35.0,35.0,42.0
ANKRD2,39.0,41.0,48.0
ANKRD20A1,4.0,3.0,3.0
ANKRD20A12P,58.0,66.0,73.0
ANKRD20A2P,7.0,7.0,10.0
ANKRD20A3P,5.0,6.0,6.0
ANKRD20A4P,112.0,119.0,185.0
ANKRD20A5P,17.0,17.0,22.0
ANKRD20A8P,49.0,53.0,74.0
ANKRD22,14.0,12.0,16.0
ANKRD23,33.0,39.0,55.0
ANKRD24,120.0,127.0,157.0
ANKRD26,239.0,272.0,365.0
ANKRD26P1,37.0,34.0,46.0
ANKRD27,126.0,119.0,158.0
ANKRD28,55.0,63.0,95.0
ANKRD29,21.0,23.0,30.0
ANKRD30A,152.0,146.0,223.0
ANKRD30B,183.0,197.0,255.0
ANKRD30BL,23.0,17.0,21.0
ANKRD31,175.0,185.0,242.0
ANKRD33,36.0,33.0,41.0
ANKRD33B,50.0,50.0,69.0
ANKRD34A,65.0,67.0,86.0
ANKRD34B,65.0,60.0,84.0
ANKRD34C,87.0,102.0,128.0
ANKRD35,134.0,144.0,184.0
ANKRD36,123.0,118.0,150.0
ANKRD36B,184.0,192.0,269.0
ANKRD36BP1,11.0,14.0,20.0
ANKRD36C,79.0,87.0,119.0
ANKRD37,11.0,11.0,9.0
ANKRD39,16.0,20.0,18.0
ANKRD40,17.0,26.0,27.0
ANKRD40CL,36.0,29.0,34.0
ANKRD42,54.0,61.0,75.0
ANKRD44,96.0,100.0,125.0
ANKRD45,20.0,21.0,31.0
ANKRD46,13.0,19.0,24.0
ANKRD49,29.0,33.0,30.0
ANKRD50,150.0,155.0,204.0
ANKRD52,98.0,92.0,117.0
ANKRD53,80.0,76.0,107.0
ANKRD54,39.0,38.0,50.0
ANKRD55,55.0,46.0,76.0
ANKRD6,101.0,98.0,131.0
ANKRD60,36.0,43.0,58.0
ANKRD61,50.0,55.0,56.0
ANKRD62,113.0,117.0,140.0
ANKRD63,33.0,30.0,44.0
ANKRD65,46.0,57.0,57.0
ANKRD66,30.0,29.0,58.0
