Protein,CRC01-N,CRC01-T
ACSS2,60.0,54.0
ACSS3,58.0,58.0
ACTA1,2.0,3.0
ACTA2,16.0,17.0
ACTB,25.0,29.0
ACTBL2,25.0,30.0
ACTG2,3.0,3.0
ACTL10,25.0,29.0
ACTL6A,21.0,26.0
ACTL6B,30.0,30.0
ACTL7A,61.0,77.0
ACTL7B,22.0,22.0
ACTL8,25.0,34.0
ACTL9,40.0,39.0
ACTMAP,21.0,20.0
ACTN1,83.0,84.0
ACTN2,104.0,107.0
ACTN3,71.0,83.0
ACTN4,128.0,135.0
ACTR10,40.0,42.0
ACTR1A,15.0,16.0
ACTR1B,33.0,34.0
ACTR2,37.0,45.0
ACTR3,49.0,49.0
ACTR3B,29.0,33.0
ACTR3C,2.0,
ACTR5,42.0,51.0
ACTR6,24.0,36.0
ACTR8,74.0,72.0
ACTRT1,34.0,39.0
ACTRT2,26.0,25.0
ACTRT3,19.0,28.0
ACVR1,37.0,31.0
ACVR1B,58.0,59.0
ACVR1C,41.0,41.0
ACVR2A,35.0,38.0
ACVR2B,41.0,46.0
ACVRL1,48.0,53.0
ACY1,57.0,62.0
ACY3,20.0,15.0
ACYP1,13.0,11.0
ACYP2,23.0,25.0
ADA,54.0,52.0
ADA2,59.0,58.0
ADAD1,67.0,73.0
ADAD2,48.0,54.0
ADAM10,87.0,85.0
ADAM11,58.0,68.0
ADAM12,86.0,79.0
ADAM15,66.0,60.0
ADAM17,103.0,105.0
ADAM18,64.0,67.0
ADAM19,103.0,91.0
ADAM2,63.0,65.0
ADAM20,64.0,55.0
ADAM21,52.0,71.0
ADAM22,105.0,94.0
ADAM23,68.0,73.0
ADAM28,74.0,77.0
ADAM29,80.0,90.0
ADAM30,77.0,78.0
ADAM32,85.0,89.0
ADAM33,33.0,41.0
ADAM5,34.0,32.0
ADAM7,75.0,74.0
ADAM8,45.0,40.0
ADAM9,79.0,86.0
ADAMDEC1,42.0,46.0
ADAMTS1,93.0,99.0
ADAMTS10,109.0,111.0
ADAMTS12,145.0,163.0
