Protein,CRC01-N,CRC01-T
DCTN3,19.0,21.0
DCTN4,68.0,67.0
DCTN5,21.0,25.0
DCTN6,6.0,8.0
DCTPP1,21.0,22.0
DCUN1D1,22.0,29.0
DCUN1D2,21.0,20.0
DCUN1D3,40.0,45.0
DCUN1D4,34.0,35.0
DCUN1D5,29.0,30.0
DCX,45.0,49.0
DCXR,16.0,14.0
DDA1,18.0,21.0
DDAH1,39.0,38.0
DDAH2,25.0,25.0
DDB1,136.0,132.0
DDB2,37.0,37.0
DDC,47.0,51.0
DDHD1,112.0,118.0
DDHD2,76.0,65.0
DDI1,29.0,32.0
DDI2,39.0,48.0
DDIAS,85.0,82.0
DDIT3,11.0,11.0
DDIT4,21.0,18.0
DDIT4L,11.0,16.0
DDN,89.0,106.0
DDO,23.0,21.0
DDOST,26.0,31.0
DDR1,68.0,71.0
DDR2,54.0,55.0
DDRGK1,17.0,21.0
DDT,11.0,11.0
DDTL,5.0,8.0
DDX1,97.0,103.0
DDX10,111.0,116.0
DDX11,100.0,120.0
DDX11L8,52.0,54.0
DDX12P,59.0,61.0
DDX17,63.0,67.0
DDX18,72.0,73.0
DDX19A,61.0,70.0
DDX19B,9.0,7.0
DDX20,99.0,98.0
DDX21,102.0,102.0
DDX23,120.0,117.0
DDX24,102.0,109.0
DDX25,53.0,56.0
DDX27,85.0,83.0
DDX28,58.0,69.0
DDX31,110.0,118.0
DDX39A,43.0,41.0
DDX39B,27.0,20.0
DDX3X,74.0,81.0
DDX3Y,36.0,43.0
DDX4,79.0,75.0
DDX41,99.0,107.0
DDX42,100.0,100.0
DDX43,85.0,87.0
DDX46,128.0,137.0
DDX47,44.0,46.0
DDX49,45.0,42.0
DDX5,51.0,50.0
DDX50,68.0,70.0
DDX51,87.0,83.0
DDX52,48.0,56.0
DDX53,101.0,108.0
DDX54,85.0,82.0
DDX55,64.0,55.0
DDX56,38.0,46.0
DDX59,71.0,73.0
DDX6,81.0,84.0
DDX60,204.0,212.0
DDX60L,185.0,192.0
DEAF1,21.0,28.0
DECR1,45.0,42.0
DECR2,30.0,35.0
DEDD,38.0,46.0
DEDD2,46.0,47.0
DEF6,107.0,116.0
DEF8,68.0,67.0
DEFA1,4.0,5.0
DEFA3,2.0,4.0
DEFA4,21.0,13.0
DEFA5,7.0,8.0
DEFA6,7.0,15.0
DEFB104A,6.0,6.0
DEFB105A,6.0,5.0
DEFB106A,19.0,18.0
DEFB107A,1.0,3.0
DEFB108A,2.0,1.0
DEFB108B,6.0,7.0
DEFB109B,6.0,7.0
DEFB109D,16.0,17.0
DEFB110,14.0,15.0
DEFB112,15.0,20.0
DEFB113,5.0,3.0
DEFB114,8.0,8.0
DEFB115,12.0,8.0
DEFB116,14.0,13.0
DEFB118,7.0,8.0
DEFB119,23.0,24.0
DEFB121,12.0,10.0
DEFB123,4.0,4.0
DEFB124,5.0,7.0
DEFB125,14.0,15.0
DEFB126,11.0,7.0
DEFB127,14.0,9.0
DEFB128,7.0,10.0
DEFB129,9.0,10.0
DEFB130B,14.0,16.0
DEFB131A,5.0,8.0
DEFB131B,6.0,7.0
DEFB132,14.0,16.0
DEFB133,6.0,4.0
DEFB135,10.0,14.0
DEFB136,5.0,8.0
DEFB4A,7.0,7.0
DEGS1,17.0,20.0
DEGS2,18.0,21.0
DEK,44.0,43.0
DELE1,48.0,50.0
DELEC1,5.0,6.0
DENND10,36.0,32.0
DENND10P1,2.0,2.0
DENND11,39.0,40.0
DENND1A,87.0,96.0
DENND1B,53.0,50.0
DENND1C,46.0,49.0
DENND2A,90.0,96.0
DENND2B,120.0,109.0
DENND2C,94.0,104.0
DENND2D,32.0,39.0
DENND3,120.0,131.0
DENND4A,181.0,211.0
DENND4B,91.0,90.0
DENND4C,166.0,181.0
DENND5A,152.0,156.0
DENND5B,132.0,129.0
DENND6A,45.0,48.0
DENND6B,55.0,48.0
DENR,15.0,25.0
DEPDC1,81.0,88.0
DEPDC1B,68.0,58.0
DEPDC4,27.0,17.0
DEPDC5,156.0,160.0
DEPDC7,63.0,69.0
DEPP1,9.0,9.0
DEPTOR,60.0,68.0
DERA,38.0,43.0
DERL1,25.0,21.0
DERL2,7.0,7.0
DERL3,5.0,5.0
DERPC,50.0,47.0
DES,74.0,76.0
DESI1,23.0,20.0
DESI2,7.0,8.0
DET1,47.0,53.0
DEUP1,85.0,85.0
DFFA,46.0,42.0
DFFB,27.0,30.0
DGAT1,21.0,26.0
DGAT2,34.0,30.0
DGAT2L6,16.0,9.0
DGCR2,38.0,38.0
DGCR6,24.0,26.0
DGCR6L,10.0,9.0
DGCR8,80.0,89.0
DGKA,94.0,100.0
DGKB,108.0,113.0
DGKD,96.0,90.0
DGKE,43.0,43.0
DGKG,90.0,101.0
DGKH,83.0,79.0
DGKI,105.0,117.0
DGKK,97.0,103.0
DGKQ,72.0,66.0
DGKZ,84.0,92.0
DGLUCY,68.0,63.0
DGUOK,44.0,48.0
DHCR24,33.0,39.0
DHCR7,18.0,17.0
DHDDS,33.0,30.0
DHDH,31.0,38.0
DHFR,41.0,42.0
DHFR2,16.0,15.0
DHH,55.0,55.0
DHODH,64.0,67.0
DHPS,27.0,29.0
DHRS1,40.0,38.0
DHRS11,27.0,35.0
DHRS12,50.0,56.0
DHRS13,25.0,31.0
DHRS2,28.0,31.0
DHRS3,14.0,15.0
DHRS4,19.0,19.0
DHRS4-AS1,13.0,11.0
DHRS4L1,19.0,25.0
DHRS4L2,14.0,16.0
DHRS7,31.0,30.0
DHRS7B,37.0,27.0
DHRS7C,45.0,44.0
DHRS9,20.0,21.0
DHRSX,32.0,29.0
DHTKD1,31.0,43.0
DHX15,66.0,72.0
DHX16,81.0,92.0
DHX29,147.0,151.0
DHX30,163.0,181.0
DHX32,70.0,73.0
DHX33,86.0,79.0
DHX34,137.0,135.0
DHX35,80.0,66.0
DHX36,96.0,83.0
DHX37,135.0,131.0
DHX38,119.0,125.0
DHX40,89.0,102.0
DHX57,155.0,160.0
DHX58,82.0,76.0
DHX8,111.0,120.0
DHX9,122.0,128.0
DIABLO,32.0,33.0
DIAPH1,143.0,163.0
DIAPH2,130.0,144.0
DIAPH2-AS1,26.0,25.0
DIAPH3,193.0,202.0
DICER1,206.0,215.0
DIDO1,231.0,247.0
DIMT1,58.0,61.0
DIO1,22.0,21.0
DIO2,19.0,15.0
DIO3,19.0,21.0
DIP2A,107.0,111.0
DIP2B,136.0,145.0
DIP2C,140.0,137.0
DIP2C-AS1,12.0,17.0
DIPK1A,30.0,37.0
DIPK1B,53.0,47.0
DIPK1C,23.0,27.0
DIPK2A,61.0,64.0
DIPK2B,30.0,39.0
DIRAS1,50.0,44.0
DIRAS2,35.0,36.0
DIRAS3,23.0,23.0
DIRC1,14.0,15.0
DIS3,111.0,112.0
DIS3L,158.0,153.0
DIS3L2,133.0,121.0
DISC1,104.0,119.0
DISP1,115.0,125.0
DISP2,71.0,82.0
DISP3,76.0,94.0
DIXDC1,67.0,74.0
DKC1,111.0,105.0
DKK1,20.0,26.0
DKK2,34.0,40.0
DKK3,31.0,33.0
DKK4,9.0,16.0
DKKL1,25.0,23.0
DLAT,55.0,45.0
DLC1,168.0,167.0
DLD,62.0,67.0
DLEC1,161.0,186.0
DLEU1,7.0,7.0
DLEU7,37.0,31.0
DLG1,64.0,70.0
DLG2,102.0,97.0
DLG3,99.0,107.0
DLG4,88.0,78.0
DLG5,234.0,231.0
DLGAP1,98.0,92.0
DLGAP2,111.0,117.0
DLGAP3,98.0,111.0
DLGAP4,121.0,123.0
DLGAP5,85.0,88.0
DLK1,21.0,25.0
DLK2,20.0,15.0
DLL1,54.0,65.0
DLL3,36.0,32.0
DLL4,45.0,49.0
DLST,31.0,32.0
DLX1,21.0,18.0
DLX2,8.0,7.0
DLX3,16.0,19.0
DLX4,11.0,14.0
DLX5,6.0,8.0
DLX6,11.0,14.0
DMAC1,5.0,4.0
DMAC2,26.0,29.0
DMAC2L,33.0,32.0
DMAP1,31.0,34.0
DMBT1,34.0,34.0
DMBX1,30.0,27.0
DMC1,29.0,25.0
DMD,509.0,532.0
DMGDH,120.0,121.0
DMKN,37.0,36.0
DMP1,20.0,24.0
DMPK,50.0,43.0
DMRT1,13.0,16.0
DMRT2,57.0,59.0
DMRT3,37.0,30.0
DMRTA1,44.0,51.0
DMRTA2,21.0,24.0
DMRTB1,16.0,17.0
DMRTC1,3.0,5.0
DMRTC2,18.0,16.0
DMTF1,68.0,71.0
DMTN,66.0,72.0
DMWD,40.0,46.0
DMXL1,252.0,273.0
DMXL2,280.0,284.0
DNA2,144.0,161.0
DNAAF1,57.0,51.0
DNAAF10,59.0,56.0
DNAAF11,62.0,62.0
DNAAF19,32.0,33.0
DNAAF2,91.0,84.0
DNAAF3,43.0,51.0
DNAAF4,55.0,60.0
DNAAF5,84.0,93.0
DNAAF6,19.0,18.0
DNAAF8,46.0,56.0
DNAAF9,99.0,110.0
DNAH1,446.0,477.0
DNAH10,516.0,519.0
DNAH10OS,9.0,8.0
DNAH11,459.0,456.0
DNAH12,333.0,364.0
DNAH14,379.0,399.0
DNAH17,494.0,524.0
DNAH2,455.0,487.0
DNAH3,504.0,522.0
DNAH5,501.0,510.0
DNAH6,480.0,479.0
DNAH7,457.0,456.0
DNAH8,494.0,480.0
DNAH9,452.0,465.0
DNAI1,74.0,73.0
DNAI2,50.0,56.0
DNAI3,104.0,116.0
DNAI4,120.0,118.0
DNAI7,87.0,86.0
DNAJA1,39.0,45.0
DNAJA2,25.0,27.0
DNAJA3,59.0,63.0
DNAJA4,30.0,34.0
DNAJB1,40.0,32.0
DNAJB11,20.0,22.0
DNAJB12,52.0,63.0
DNAJB13,44.0,41.0
DNAJB14,45.0,53.0
DNAJB2,29.0,36.0
DNAJB3,11.0,8.0
DNAJB4,45.0,56.0
DNAJB5,34.0,30.0
DNAJB6,35.0,44.0
DNAJB7,37.0,31.0
DNAJB8,9.0,11.0
DNAJB9,23.0,21.0
DNAJC1,55.0,60.0
DNAJC10,51.0,62.0
DNAJC11,65.0,66.0
DNAJC12,36.0,36.0
DNAJC13,215.0,228.0
DNAJC14,54.0,48.0
DNAJC15,23.0,29.0
DNAJC16,71.0,80.0
DNAJC17,29.0,27.0
DNAJC18,36.0,36.0
DNAJC19,14.0,14.0
DNAJC2,72.0,71.0
DNAJC21,46.0,50.0
DNAJC22,32.0,24.0
DNAJC24,11.0,17.0
DNAJC25,49.0,47.0
DNAJC27,27.0,42.0
DNAJC28,70.0,65.0
DNAJC3,66.0,69.0
DNAJC30,18.0,17.0
DNAJC4,22.0,25.0
DNAJC5,13.0,11.0
DNAJC5B,23.0,21.0
DNAJC5G,20.0,18.0
DNAJC6,92.0,89.0
DNAJC7,72.0,64.0
DNAJC8,12.0,17.0
DNAJC9,31.0,35.0
DNAJC9-AS1,30.0,26.0
DNAL1,18.0,18.0
DNAL4,18.0,18.0
DNALI1,37.0,40.0
DNASE1,10.0,17.0
DNASE1L1,18.0,19.0
DNASE1L2,19.0,23.0
DNASE1L3,47.0,46.0
DNASE2,22.0,21.0
DNASE2B,37.0,38.0
DND1,37.0,39.0
DNER,38.0,42.0
DNHD1,481.0,499.0
DNLZ,18.0,22.0
DNM1,82.0,83.0
DNM1L,89.0,96.0
DNM1P34,12.0,10.0
DNM1P46,22.0,20.0
DNM2,112.0,113.0
DNM3,76.0,74.0
DNMBP,140.0,144.0
DNMT1,193.0,191.0
DNMT3A,85.0,98.0
DNMT3B,82.0,85.0
DNMT3L,29.0,29.0
DNPEP,65.0,69.0
DNPH1,12.0,9.0
DNTT,54.0,58.0
DNTTIP1,53.0,61.0
DNTTIP2,77.0,97.0
DOC2A,44.0,44.0
DOC2B,44.0,43.0
DOCK1,225.0,237.0
DOCK10,219.0,217.0
DOCK11,292.0,280.0
DOCK2,216.0,224.0
DOCK3,235.0,231.0
DOCK4,212.0,235.0
DOCK5,226.0,253.0
DOCK6,208.0,221.0
DOCK7,192.0,208.0
DOCK8,211.0,210.0
DOCK8-AS1,32.0,32.0
DOCK9,255.0,269.0
DOHH,32.0,41.0
DOK1,44.0,35.0
DOK2,33.0,33.0
DOK3,29.0,36.0
DOK4,38.0,43.0
DOK5,43.0,45.0
DOK6,38.0,44.0
DOK7,34.0,44.0
DOLK,30.0,25.0
DOLPP1,14.0,12.0
DONSON,40.0,42.0
DOP1A,152.0,150.0
DOP1B,196.0,204.0
DORIP1,43.0,50.0
DOT1L,142.0,151.0
DPAGT1,8.0,8.0
DPCD,28.0,30.0
DPEP1,50.0,43.0
DPEP2,52.0,56.0
DPEP2NB,5.0,5.0
DPEP3,18.0,19.0
DPF1,49.0,46.0
DPF2,53.0,56.0
DPF3,27.0,36.0
DPH1,47.0,49.0
DPH2,34.0,35.0
DPH3,4.0,2.0
DPH3P1,1.0,3.0
DPH5,35.0,36.0
DPH6,30.0,32.0
DPH7,46.0,40.0
DPM1,28.0,38.0
DPM3,5.0,5.0
DPP10,89.0,102.0
DPP3,52.0,49.0
DPP4,104.0,104.0
DPP6,99.0,102.0
DPP7,53.0,57.0
DPP8,102.0,114.0
DPP9,103.0,93.0
DPPA2,26.0,21.0
DPPA3,6.0,5.0
DPPA4,18.0,22.0
DPPA5,22.0,26.0
DPRX,16.0,15.0
DPT,11.0,13.0
DPY19L1,51.0,54.0
DPY19L2,54.0,58.0
DPY19L2P1,28.0,22.0
DPY19L2P2,27.0,35.0
DPY19L3,39.0,47.0
DPY19L4,61.0,61.0
DPY30,9.0,12.0
DPYD,102.0,114.0
DPYS,72.0,76.0
DPYSL2,55.0,56.0
DPYSL3,44.0,49.0
DPYSL4,68.0,59.0
DPYSL5,52.0,68.0
DQX1,58.0,63.0
DR1,9.0,11.0
DRAM1,2.0,1.0
DRAM2,13.0,14.0
DRAP1,7.0,5.0
DRAXIN,7.0,10.0
DRC1,73.0,79.0
DRC10,74.0,75.0
DRC11,92.0,101.0
DRC11L,125.0,125.0
DRC12,37.0,42.0
DRC2,70.0,71.0
DRC3,59.0,58.0
DRC4,52.0,52.0
DRC5,36.0,42.0
DRC7,120.0,125.0
DRC8,40.0,46.0
DRC9,55.0,62.0
DRD1,23.0,26.0
DRD2,17.0,15.0
DRD3,23.0,22.0
DRD4,9.0,10.0
DRD5,6.0,8.0
DRG1,56.0,58.0
DRG2,37.0,38.0
DRGX,24.0,23.0
DRICH1,23.0,30.0
DROSHA,149.0,155.0
DRP2,87.0,88.0
DSA2D,4.0,4.0
DSC1,102.0,102.0
DSC2,67.0,78.0
DSC3,92.0,97.0
DSCAM,176.0,174.0
DSCAML1,151.0,156.0
DSCC1,18.0,18.0
DSCR10,2.0,2.0
DSCR4,11.0,10.0
DSCR8,2.0,7.0
DSCR9,22.0,20.0
DSE,69.0,70.0
DSEL,75.0,95.0
DSG1,69.0,76.0
DSG2,88.0,89.0
DSG3,74.0,67.0
DSG4,71.0,67.0
DSN1,39.0,44.0
DSP,396.0,413.0
DSPP,49.0,45.0
DST,873.0,838.0
DSTN,42.0,34.0
DSTYK,116.0,118.0
DTD1,21.0,24.0
DTD2,19.0,18.0
DTHD1,85.0,76.0
DTL,98.0,88.0
DTNA,60.0,66.0
DTNB,99.0,102.0
DTNBP1,22.0,25.0
DTWD1,26.0,27.0
DTWD2,23.0,25.0
DTX1,76.0,62.0
DTX2,40.0,42.0
DTX3,29.0,27.0
DTX3L,106.0,112.0
DTX4,50.0,57.0
DTYMK,46.0,44.0
DUOX1,109.0,119.0
DUOX2,118.0,144.0
DUOXA1,14.0,14.0
DUOXA2,11.0,14.0
DUS1L,45.0,48.0
DUS2,76.0,73.0
DUS3L,68.0,69.0
DUS4L,41.0,43.0
DUSP1,32.0,38.0
DUSP10,61.0,58.0
DUSP11,42.0,50.0
DUSP12,36.0,40.0
DUSP13A,17.0,15.0
DUSP13B,17.0,16.0
DUSP14,22.0,20.0
DUSP15,30.0,33.0
DUSP16,46.0,42.0
DUSP18,28.0,30.0
DUSP19,13.0,16.0
DUSP2,26.0,21.0
DUSP21,14.0,15.0
DUSP22,32.0,38.0
DUSP23,24.0,33.0
DUSP26,7.0,8.0
DUSP28,25.0,29.0
DUSP29,20.0,21.0
DUSP3,22.0,24.0
DUSP4,37.0,36.0
DUSP5,39.0,32.0
DUSP6,26.0,29.0
DUSP7,26.0,27.0
DUSP8,74.0,76.0
DUSP9,18.0,16.0
DUT,42.0,47.0
DUTL,13.0,14.0
DUX1,13.0,12.0
DUX3,19.0,19.0
DUX4L9,26.0,21.0
DUX5,9.0,4.0
DUXA,21.0,20.0
DUXB,45.0,45.0
DVL1,57.0,58.0
DVL1P1,12.0,15.0
DVL2,47.0,47.0
DVL3,35.0,37.0
DXO,36.0,35.0
DYDC1,27.0,27.0
DYDC2,22.0,30.0
DYM,48.0,47.0
DYNAP,4.0,7.0
DYNC1H1,554.0,584.0
DYNC1I1,37.0,27.0
DYNC1I2,60.0,63.0
DYNC1LI1,67.0,64.0
DYNC1LI2,63.0,58.0
DYNC2H1,537.0,577.0
DYNC2I1,103.0,110.0
DYNC2I2,34.0,33.0
DYNC2LI1,43.0,44.0
DYNLL1,5.0,8.0
DYNLRB1,10.0,12.0
DYNLRB2,20.0,20.0
DYNLT1,15.0,15.0
DYNLT2,19.0,20.0
DYNLT2B,10.0,13.0
DYNLT3,8.0,8.0
DYNLT4,26.0,24.0
DYNLT5,23.0,21.0
DYRK1A,57.0,53.0
DYRK1B,43.0,44.0
DYRK2,60.0,68.0
DYRK3,71.0,69.0
DYRK4,50.0,47.0
DYSF,211.0,219.0
DYTN,79.0,66.0
DZANK1,101.0,96.0
DZIP1,106.0,116.0
DZIP1L,112.0,108.0
DZIP3,150.0,159.0
E2F1,33.0,37.0
E2F2,34.0,35.0
E2F3,45.0,41.0
E2F4,42.0,42.0
E2F5,27.0,29.0
E2F6,21.0,32.0
E2F7,82.0,87.0
E2F8,68.0,70.0
E4F1,53.0,41.0
EAF1,16.0,11.0
EAF2,19.0,29.0
EAPP,30.0,22.0
EARS2,47.0,52.0
EBAG9,8.0,7.0
EBF1,33.0,35.0
EBF2,56.0,60.0
EBF3,59.0,65.0
EBF4,71.0,68.0
EBI3,10.0,11.0
EBLN1,29.0,22.0
EBLN2,19.0,19.0
EBNA1BP2,51.0,56.0
EBP,12.0,16.0
ECD,63.0,69.0
ECE1,67.0,75.0
ECE2,58.0,56.0
ECEL1,74.0,82.0
ECH1,44.0,41.0
ECHDC1,26.0,23.0
ECHDC2,22.0,23.0
ECHDC3,26.0,24.0
ECHS1,17.0,12.0
ECI1,22.0,23.0
ECI2,42.0,57.0
ECM1,68.0,77.0
ECM2,57.0,62.0
ECPAS,185.0,185.0
ECRG4,17.0,17.0
ECSCR,16.0,9.0
ECSIT,45.0,48.0
ECT2,112.0,117.0
ECT2L,174.0,186.0
EDA,20.0,26.0
EDA2R,21.0,23.0
EDAR,46.0,55.0
EDARADD,32.0,36.0
EDC3,50.0,53.0
EDC4,92.0,102.0
EDDM13,29.0,27.0
EDDM3A,17.0,18.0
EDDM3B,19.0,14.0
EDEM1,81.0,67.0
EDEM2,28.0,41.0
EDEM3,81.0,86.0
EDF1,38.0,33.0
EDIL3,59.0,70.0
EDN1,11.0,14.0
EDN2,18.0,19.0
EDN3,9.0,12.0
EDNRA,24.0,26.0
EDNRB,29.0,29.0
EDRF1,153.0,161.0
EEA1,251.0,270.0
EED,59.0,65.0
EEF1A1,30.0,32.0
EEF1A1P5,2.0,4.0
EEF1A2,24.0,19.0
EEF1AKMT1,7.0,8.0
EEF1AKMT2,24.0,23.0
EEF1AKMT3,10.0,10.0
EEF1AKMT4,22.0,25.0
EEF1B2,10.0,7.0
EEF1D,28.0,31.0
EEF1DP3,14.0,10.0
EEF1E1,34.0,32.0
EEF1G,40.0,47.0
EEF2,95.0,94.0
EEF2K,118.0,108.0
EEF2KMT,24.0,20.0
EEFSEC,75.0,80.0
EEIG1,30.0,34.0
EEIG2,42.0,53.0
EEPD1,77.0,73.0
EFCAB10,22.0,27.0
EFCAB11,29.0,30.0
EFCAB12,69.0,68.0
EFCAB13,103.0,99.0
EFCAB14,60.0,73.0
EFCAB3,80.0,86.0
EFCAB5,181.0,215.0
EFCAB6,196.0,207.0
EFCAB7,94.0,87.0
EFCAB8,16.0,18.0
EFCAB9,23.0,27.0
EFCC1,73.0,69.0
EFEMP1,52.0,57.0
EFEMP2,33.0,36.0
EFHB,98.0,112.0
EFHC1,75.0,70.0
EFHC2,85.0,98.0
EFHD1,50.0,48.0
EFHD2,34.0,36.0
EFL1,94.0,100.0
EFNA1,22.0,21.0
EFNA2,1.0,4.0
EFNA3,12.0,13.0
EFNA4,8.0,13.0
EFNA5,19.0,26.0
EFNB1,33.0,32.0
EFNB2,37.0,45.0
EFNB3,27.0,28.0
EFR3A,113.0,118.0
EFR3B,94.0,84.0
EFS,32.0,36.0
EFTUD2,88.0,91.0
EGF,97.0,105.0
EGFEM1P,14.0,16.0
EGFL6,77.0,78.0
EGFL7,19.0,24.0
EGFL8,25.0,28.0
EGFLAM,89.0,88.0
EGFR,135.0,139.0
EGLN1,75.0,82.0
EGLN2,51.0,47.0
EGLN3,19.0,23.0
EGR1,12.0,16.0
EGR2,18.0,18.0
EGR3,13.0,12.0
EGR4,28.0,24.0
EHBP1,175.0,153.0
EHBP1L1,169.0,174.0
EHD1,54.0,61.0
EHD2,58.0,47.0
EHD3,49.0,49.0
EHD4,51.0,57.0
EHF,23.0,17.0
EHHADH,93.0,87.0
EHMT1,91.0,96.0
EHMT2,95.0,95.0
EI24,23.0,22.0
EID1,11.0,12.0
EID2,23.0,21.0
EID2B,5.0,6.0
EID3,50.0,53.0
EIF1,13.0,19.0
EIF1AD,26.0,30.0
EIF1AX,16.0,18.0
EIF1AY,6.0,5.0
EIF1B,3.0,4.0
EIF2A,56.0,61.0
EIF2AK1,20.0,21.0
EIF2AK2,61.0,69.0
EIF2AK3,114.0,124.0
EIF2AK4,209.0,216.0
EIF2B1,33.0,36.0
EIF2B2,28.0,26.0
EIF2B3,57.0,55.0
EIF2B4,46.0,50.0
EIF2B5,52.0,52.0
EIF2D,71.0,69.0
EIF2S1,50.0,41.0
EIF2S2,48.0,50.0
EIF2S3,47.0,48.0
EIF2S3B,5.0,3.0
EIF3A,145.0,142.0
EIF3B,93.0,90.0
EIF3C,100.0,103.0
EIF3CL,2.0,2.0
EIF3D,62.0,60.0
EIF3E,74.0,73.0
EIF3F,25.0,31.0
EIF3G,30.0,35.0
EIF3H,54.0,51.0
EIF3I,36.0,40.0
EIF3J,28.0,26.0
EIF3K,19.0,19.0
EIF3L,54.0,48.0
EIF3M,39.0,46.0
EIF4A1,56.0,59.0
EIF4A2,52.0,47.0
EIF4A3,60.0,59.0
EIF4B,50.0,47.0
EIF4E,27.0,32.0
EIF4E1B,35.0,33.0
EIF4E2,32.0,39.0
EIF4E3,15.0,12.0
EIF4EBP1,10.0,9.0
EIF4EBP2,10.0,18.0
EIF4EBP3,4.0,5.0
EIF4ENIF1,72.0,66.0
EIF4G1,107.0,105.0
EIF4G2,111.0,124.0
EIF4G3,230.0,239.0
EIF4H,15.0,15.0
EIF5,58.0,57.0
EIF5A,2.0,2.0
EIF5B,112.0,106.0
EIF6,9.0,15.0
EIPR1,27.0,22.0
ELAC1,25.0,20.0
ELAC2,86.0,91.0
ELANE,8.0,14.0
ELAPOR1,94.0,106.0
ELAPOR2,94.0,86.0
ELAVL1,48.0,53.0
ELAVL2,22.0,20.0
ELAVL3,31.0,30.0
ELAVL4,48.0,47.0
ELF1,25.0,31.0
ELF2,35.0,43.0
ELF3,41.0,43.0
ELF4,17.0,20.0
ELF5,9.0,9.0
ELFN1,56.0,47.0
ELFN2,89.0,106.0
ELK1,35.0,33.0
ELK3,28.0,36.0
ELK4,21.0,15.0
ELL,75.0,82.0
ELL2,84.0,82.0
ELL3,40.0,41.0
ELMO1,83.0,94.0
ELMO2,72.0,71.0
ELMO3,78.0,80.0
ELMOD1,45.0,48.0
ELMOD2,32.0,37.0
ELMOD3,36.0,36.0
ELN,13.0,17.0
ELOA,60.0,64.0
ELOA2,110.0,104.0
ELOB,8.0,15.0
ELOC,19.0,20.0
ELOF1,5.0,2.0
ELOVL1,13.0,19.0
ELOVL2,11.0,14.0
ELOVL3,8.0,11.0
ELOVL4,18.0,23.0
ELOVL5,18.0,21.0
ELOVL6,16.0,23.0
ELOVL7,22.0,24.0
ELP1,89.0,115.0
ELP2,78.0,83.0
ELP3,62.0,64.0
ELP4,40.0,47.0
ELP5,18.0,16.0
ELP6,40.0,37.0
ELSPBP1,25.0,25.0
EMB,24.0,22.0
EMC1,100.0,87.0
EMC10,5.0,5.0
EMC2,37.0,38.0
EMC3,22.0,21.0
EMC4,19.0,16.0
EMC6,5.0,5.0
EMC7,18.0,16.0
EMC8,26.0,23.0
EMC9,29.0,26.0
EMCN,10.0,14.0
EMD,11.0,12.0
EME1,49.0,53.0
EME2,27.0,26.0
EMG1,26.0,28.0
EMID1,22.0,16.0
EMILIN1,93.0,91.0
EMILIN2,112.0,103.0
EMILIN3,79.0,94.0
EML1,88.0,94.0
EML2,63.0,60.0
EML3,98.0,105.0
EML4,104.0,108.0
EML5,198.0,221.0
EML6,200.0,210.0
EMP3,1.0,1.0
EMSY,127.0,133.0
EMX1,27.0,29.0
EMX2,29.0,26.0
EN1,19.0,16.0
EN2,43.0,36.0
ENAH,64.0,55.0
ENAM,107.0,98.0
ENC1,51.0,60.0
ENDOD1,16.0,20.0
ENDOG,30.0,30.0
ENDOU,56.0,58.0
ENDOV,39.0,40.0
ENG,22.0,21.0
ENGASE,76.0,83.0
ENH1,26.0,32.0
ENH3,11.0,13.0
ENHO,8.0,7.0
ENKD1,50.0,50.0
ENKUR,31.0,33.0
ENO1,45.0,56.0
ENO2,45.0,49.0
ENO3,35.0,40.0
ENO4,58.0,51.0
ENOPH1,22.0,21.0
ENOSF1,54.0,52.0
ENOX1,47.0,60.0
ENOX2,61.0,63.0
ENPEP,110.0,119.0
ENPP1,84.0,86.0
ENPP2,83.0,89.0
ENPP3,94.0,91.0
ENPP4,30.0,34.0
ENPP5,38.0,45.0
ENPP6,43.0,40.0
ENPP7,36.0,35.0
ENSA,15.0,19.0
ENTHD1,54.0,50.0
ENTPD1,59.0,50.0
ENTPD2,28.0,31.0
ENTPD3,39.0,36.0
ENTPD4,47.0,46.0
ENTPD5,17.0,18.0
ENTPD6,43.0,48.0
ENTPD7,40.0,37.0
ENTPD8,20.0,16.0
ENTR1,40.0,47.0
ENTREP1,29.0,35.0
ENTREP2,25.0,24.0
ENTREP3,49.0,43.0
ENY2,6.0,7.0
EOGT,59.0,55.0
EOLA1,12.0,18.0
EOLA2,4.0,5.0
EOMES,48.0,46.0
EP300,137.0,142.0
EP400,265.0,242.0
EP400P1,8.0,8.0
EPAS1,75.0,81.0
EPB41,102.0,115.0
EPB41L1,103.0,105.0
EPB41L2,123.0,121.0
EPB41L3,102.0,102.0
EPB41L4A,115.0,108.0
EPB41L4B,78.0,92.0
EPB41L5,42.0,39.0
EPB42,71.0,74.0
EPC1,71.0,87.0
EPC2,96.0,109.0
EPCAM,13.0,15.0
EPCIP,15.0,13.0
EPCIP-AS1,9.0,7.0
EPDR1,29.0,38.0
EPG5,213.0,225.0
EPGN,11.0,17.0
EPHA1,65.0,83.0
EPHA10,87.0,90.0
EPHA2,89.0,103.0
EPHA3,95.0,97.0
EPHA4,92.0,87.0
EPHA5,84.0,86.0
EPHA6,61.0,67.0
EPHA7,88.0,95.0
EPHA8,86.0,83.0
EPHB1,57.0,60.0
EPHB2,73.0,71.0
EPHB3,71.0,64.0
EPHB4,73.0,84.0
EPHB6,65.0,76.0
EPHX1,56.0,61.0
EPHX2,37.0,43.0
EPHX3,20.0,23.0
EPHX4,36.0,36.0
